Style,Category,ABV_min,ABV_max,ABV_avg,IBU_min,IBU_max,IBU_avg,SRM_min,SRM_max,SRM_avg,Glassware,Description
German Bock,Bock,6.3,7.6,6.95,20,30,25.0,20,30,25.0,Tulip,"Bock is a bottom fermenting lager that generally takes extra months of lagering (cold storage) to smooth out such a strong brew. Bock beer in general is stronger than your typical lager, more of a robust malt character with a dark amber to brown hue. Hop bitterness can be assertive enough to balance, though must not get in the way of the malt flavor, most are only lightly hopped."
German Doppelbock,Bock,6.6,7.9,7.25,17,27,22.0,12,30,21.0,Tulip,"“Doppel” meaning “double,” this style is a bigger and stronger version of the lower-gravity German-Style Bock beers. Originally made by monks in Munich, the Doppelbock beer style is very food-friendly and rich in melanoidins reminiscent of toasted bread. Color is copper to dark brown. Malty sweetness is dominant but should not be cloying. Malt character is more reminiscent of fresh and lightly toasted Munich-style malt, more so than caramel or toffee malt. Doppelbocks are full-bodied, and alcoholic strength is on the higher end."
German Eisbock,Bock,7.0,14.0,10.5,25,35,30.0,12,30,21.0,Snifter,"Eisbock is an extremely strong beer with a typical alcohol content well beyond 7 percent ABV. This beer undergoes a freezing process called “freeze distilling” that separates water from the other components (alcohol and sugars) to concentrate these. Because water has a lower freezing point than ethanol, the water freezes, leaving the alcohol liquid. When the water ice is removed, the remaining beer is stronger than before. Eisbock can range from near black to as light as tawny red. Hop bitterness and flavor are mostly cast aside with a big alcohol presence replacing it, which can range from sweet to spicy, and fruity to fusel. Look for a heavy or almost syrupy body with tons of malty flavor."
German Maibock,Bock,6.3,8.1,7.2,20,38,29.0,4,9,6.5,Goblet,"Also called “Heller Bock” (meaning “Pale Bock”), the German-Style Maibock is paler in color and more hop-centric than traditional Bock beers. A lightly toasted and/or bready malt character is often evident."
German Weizenbock,Bock,7.0,9.5,8.25,15,35,25.0,4,30,17.0,Tulip,"The German-style Weizenbock is a wheat version of a German-Style Bock, or a bigger and beefier Dunkelweizen. Malt mellanoidins and Weizen Ale yeast are the star ingredients. If served with yeast, the appearance may appropriately be very cloudy. With flavors of bready malt and dark fruits like plum, raisin, and grape, this style is low on bitterness and high on carbonation. Balanced clove-like phenols and fruity, banana-like esters produce a well-rounded aroma."
American Brown Ale,Brown Ale,4.2,8.8,6.5,25,45,35.0,12,30,21.0,Pint Glass,"Roasted malt, caramel-like and chocolate-like characters should be of medium intensity in both flavor and aroma for the American brown ale. American-style brown ales have evident low to medium hop flavor and aroma and medium to high hop bitterness. The history of this style dates back to U.S. homebrewers who were inspired by English-style brown ales and porters. It sits in flavor between those British styles and is more bitter than both."
English Brown Ale,Brown Ale,4.2,7.0,5.6,15,25,20.0,12,22,17.0,Pint Glass,"Spawned from the Mild Ale tradition, English Brown Ales tend to be maltier and sweeter on the palate, with a somewhat fuller body. Color can range from a medium amber/reddish hue to dark brown. Some versions will lean towards fruity esters, while others tend to be drier with nutty characteristics. Roasty malt notes give this style complexity, but almost every example has both a minimal amount of hop aroma and low degree of hop bitterness. As with most historical English styles, alcohol levels are kept low to promote drinkability."
English Dark Mild Ale,Brown Ale,3.0,6.0,4.5,20,30,25.0,12,22,17.0,Pint Glass,"The quintessential British session beer, like its name suggests, a Mild is known for its low level of hop character. Similarly, the alcohol content is traditionally very low, too. Colors can range from medium amber to rich brown. Low carbonation with a nearly still, slightly bubbly head and little to no hop aroma. Grainy to toasty malts might be present, but expect some body from the high dextrins produced during brewing. Traditionally Dark Milds were a draft beer made popular in London and the Midlands of England."
German Altbier,Brown Ale,4.0,7.0,5.5,25,50,37.5,11,19,15.0,Stange,"A Düsseldorf specialty, an Altbier is a German-style Brown Ale. The word altî literally translates to ""old"" in German, and traditionally Altbiers are conditioned for a longer than normal periods of time. Other sources note that ""alt"" is derived from the Latin word ""altus,"" which means ""high"" and refers to the rising yeast. Take your pick, but the extended conditioning mellows out this ale's fruitiness and produces an exceptionally smooth, clean, and delicate brew. Its color ranges from amber to dark brown, carbonation is moderate, and while known to express the slightly spicy, herbal character of Noble hops, the key word here is balance. A stronger version brewed less frequently, ""Sticke Alt"" is a maltier and hoppier take on the Altbier."
American Black Ale,Dark Ale,6.3,7.6,6.95,50,70,60.0,30,40,35.0,Tulip,"The American black ale is characterized by the perception of caramel malt and dark roasted malt flavor and aroma. Hop bitterness is perceived to be medium-high to high. Hop flavor and aroma are medium-high. Fruity, citrus, piney, floral and herbal character from hops of all origins may contribute to the overall experience. This beer is often called a black IPA or Cascadian dark ale."
Belgian Dark Ale,Dark Ale,4.5,7.5,6.0,15,25,20.0,15,30,22.5,Goblet,"Belgian Darks offer a massive range of characters. The colors play within the amber to light brown and even deep garnet range of hues, topped with thick, rocky heads of great retention. Aromas can offer anything from traces of yeast, spices, malt, floral attributes, and on occasion, slightly intoxicating notes. Flavors run the gamut from dry and spiced, to sweet and malty. Most examples of Belgian Dark Ale have a low level of bitterness."
Belgian Dubble,Dark Ale,6.0,9.0,7.5,15,30,22.5,15,30,22.5,Goblet,"The Belgian Dubbel is a rich, malty beer with some spicy or phenolic and mild alcoholic characteristics. Not as much fruitiness as a Belgian Strong Dark Ale, but some dark fruit aromas and flavors may be present. Medium amber to deep brown, this style is recognizable for its mild hop bitterness with no lingering hop flavors. A Dubbel is also likely show signs of a sweeter caramel flavor from the use of crystal malt or dark candi sugar. Look for a medium to full body with an expressive carbonation and some dryness in the finish. Traditionally a Trappist ale, many breweries now make similar ""Abbey Dubbels"" to try and emulate the monastic originals (Trappist Westvleteren 8, Westmalle Trappist Dubbel, and Chimay Première)."
German Roggenbier,Dark Ale,4.5,6.0,5.25,10,20,15.0,15,30,22.5,Pint Glass,"Roggenbier is akin to a Dunkelweizen made with rye rather than wheat, but with a greater body and light finishing hops. Expect a very pronounced spiciness and sour-like rye character, malty flavor, and a clean hop character. Often unfiltered and bottle-conditioned, Roggenbiers tend to be rather turbid and foamy."
Scottish Ale,Dark Ale,2.8,5.3,4.05,9,25,17.0,6,15,10.5,Tulip,"Scottish-Style Ales vary depending on strength and flavor, but in general retain a malt-forward character with some degree of caramel-like malt flavors and a soft and chewy mouthfeel. Some examples feature a light smoked peat flavor. Hops do not play a huge role in this style. The numbers commonly associated with brands of this style (60/70/80 and others) reflect the Scottish tradition of listing the cost, in shillings, of a hogshead (large cask) of beer. Overly smoked versions would be considered specialty examples. Smoke or peat should be restrained."
Winter Warmer,Dark Ale,5.5,8.0,6.75,35,50,42.5,15,30,22.5,Goblet,"These malty, sweet offerings tend to be a favorite winter seasonal. A big malt presence, both in flavor and body, leads the way. The color of this style ranges from brownish reds to nearly pitch black. Hop bitterness is generally low and balanced, but hop character can be pronounced in the aroma. Alcohol warmth is not uncommon. Many English versions contain no spices, though some brewers of spiced seasonal ales will slap ""Winter Warmer"" on the label. Those that are spiced, tend to follow the ""wassail"" tradition of blending robust ales with some combination of cinnamon, ginger, nutmeg, and the like before hops became the chief ""spice"" in beer. American varieties many have a larger presence of hops both in bitterness and flavor."
American Amber / Red Lager,Dark Lager,4.8,5.4,5.1,18,30,24.0,15,30,22.5,Pilsener Glass,"A widely available, sessionable craft beer style that showcases both malt and hops. Amber lagers are a medium-bodied lager with a toasty or caramel-like malt character. Hop bitterness can range from very low to medium-high. Brewers may use decoction mash and dry-hopping to achieve advanced flavors."
European Dark Lager,Dark Lager,4.0,7.0,5.5,15,40,27.5,15,30,22.5,Pint Glass,"This style encompasses a wide range of dark beers including India Pale Lagers, Czech lagers, and lagers brewed with adjuncts or non-traditional ingredients. In time these entries will be moved into more accurate categories."
German Marzen / Oktoberfest,Dark Lager,5.0,6.5,5.75,18,25,21.5,15,30,22.5,Mug,"Before refrigeration, it was nearly impossible to brew beer in the summer due to the hot weather and bacterial infections. Brewing ended with the coming of spring, and began again in the fall. Thus, most were brewed in March (Märzen). These beers were kept in cold storage through the spring and summer months, or brewed at a higher gravity, so theyí'd last longer. Märzenbier is full-bodied, rich, and toasty, with a moderately high alcohol content. Its color can be anywhere from pale gold to medium amber, but is typically some shade of copper. Like other dark lagers, the aroma is driven by malt, not hops. Best enjoyed by the half liter in a Bavarian beer garden."
German Rauchbier,Dark Lager,4.8,6.0,5.4,20,30,25.0,15,30,22.5,Pint Glass,"Rauchbier is an old German beer style with origins in the 1500s from the district of Franconia and the town of Bamberg. Typically dark to amber in color, it shares similarities with Oktoberfestbier. Green malts are dried over an open fire of beechwood, imparting a unique smokiness (""rauch"" is German for smoke) to the final beverage. Expect toasty-rich malt in aroma and flavor, restrained bitterness, low to high smoke flavor, clean fermentation profile, and an attenuated finish."
German Schwarzbier,Dark Lager,3.8,5.2,4.5,20,30,25.0,15,30,22.5,Pilsener Glass,"Schwarzbier (""shvahrts-beer""), is simply German for black beer. It doesn'ít mean that it'ís necessarily heavy or light in body, although most examples tend to be lighter. Unlike Porters or Stouts and other dark beers, they are not overly bitter with the burnt and heavily roasted malt characteristics that these styles tend to depend on. Instead, hops are used to achieve a good portion of the bitterness. Smooth on the palate, soul lifting, and refreshing with a dry finish, Schwartzbiers make a great alternative for the winter months, especially when you're looking for a lighter beer, but one with depth of color and a bittersweet taste that might bring to mind coffee, cocoa, or licorice."
Munich Dunkel Lager,Dark Lager,4.0,6.0,5.0,15,25,20.0,15,30,22.5,Pilsener Glass,"An old friend of Bavaria, Munich Dunkels are smooth, rich, and complex without being overly heady or heavy. They boast brilliant ruby hues from the large amounts of Munich malts used, and these malts also create a fuller-bodied beer. In addition, the decoction brewing process lends much depth and richness of flavor. Little to no hop aroma is detectable; the nose is dominated by malty notes of bread, nuts, and perhaps a touch of chocolate. Hop varieties used tend to be German Noble varieties like Tettnanger and Hallertau. Bitterness is often moderate, with just enough to balance out any sweetness."
Vienna Lager,Dark Lager,4.5,5.5,5.0,15,30,22.5,12,25,18.5,Pilsener Glass,"Named after the city in which it originated, a traditional Vienna Lager is brewed using a three step decoction boiling process. Munich, Pilsner, Vienna, and dextrin malts are used, as well wheat in some cases. Its color reliably falls between pale amber and medium amber—there should be a reddish hue to examples of this style. Noble hops are used subtly, with the resulting beer having a crisp quality, a toasty flavor and some residual caramel-like sweetness. Vienna Lager and German Märzen have much in common. Although Austrian in origin and rare these days, some classic examples come from Mexico, such as Dos Equis Amber, the result of late 19th century brewers immigrating from Austria."
American Cream Ale,Hybrid Beer,4.0,8.5,6.25,10,22,16.0,2,5,3.5,Pint Glass,"Cream Ales, spawned from the American light lager style, are brewed as an ale though are sometimes finished with a lager yeast or with lager beer mixed into the final product. Adjuncts such as corn or rice are frequently used to lighten the body but it is not uncommon for smaller craft brewers to make all malt Cream Ales. Pale straw to pale gold in color, they were known to have a low degree of hop bittering yet some hop aroma. More recently, a number of breweries have put their stamp on the style by giving it more of a hoppy character, nudging it toward Imperial. Well carbonated and well attenuated."
Biere de Champagne / Biere Brut,Hybrid Beer,6.0,12.0,9.0,10,35,22.5,7,16,11.5,Flute,"First brewed in Belgium, Bière de Champagne or Bière Brut typically undergo a lengthy maturation. Some are even cave-aged in the Champagne region of France and are then subjected to remuage and dégorgement, which is the ""methode de champenoise"" process of removing yeast from the bottle. Most are delicate, high in alcohol, and highly carbonated. Less frequently you'll come across a spiced example. The color of Bière de Champagne can range from very pale gold to a darker pale amber. Often presented in 750 mililiter champagne-style corked and caged bottles."
Braggot,Hybrid Beer,6.0,12.0,9.0,20,40,30.0,2,7,4.5,Tulip,"With references dating into the 12th century, Braggot was historically made by blending spices and herbs with mead and beer. Many taverns would make this blend right at the bar, though brewers would also blend them as well. The ultimate goal is a beverage with perceivable honey and beer qualities (meaning malt, hops and/or yeast) that compliment each other, though not necessarily equally present. Ideally, there should be a balance between the honey character and malt flavor with the hop bitterness not overpowering the sweetness while remaining noticeable."
California Common / Steam Beer,Hybrid Beer,4.0,6.0,5.0,35,45,40.0,8,15,11.5,Pint Glass,"The California Common, or Steam Beer, is a hybrid style unique to the US. It's usually brewed with a special strain of lager yeast that works better at warmer (ale-like) temperatures. This method dates back to the late 1800's in California when refrigeration was a great luxury. At the time, brewers had to improvise to cool the beer down, so shallow fermenters were used. In a way, the lager yeast was trained to ferment quicker at warmer temperatures. Today's examples are light amber to tawny red in color, medium bodied, and possess a malty character. Some mildly fruitiness along with an herbal yet assertive hop bitterness are also typical. San Francisco's Anchor Brewing Company trademarked the term ""Steam Beer"" and as such all other examples of the style must be legally referred to as ""California Common."""
American Brut IPA,India Pale Ale,6.0,7.5,6.75,20,40,30.0,6,15,10.5,Tulip,"One of the newest styles to excite brewers and drinkers alike, Brut IPA first appeared in California in late 2017 and is notable for its effervescence and extreme dryness. Pale straw to pale gold, this style is intended to be lighter in color and body than a typical American IPA. For that reason, the mash is often some combination of Pilsner malt, wheat, corn, and/or rice. The addition of an amylase enzyme reduces the final gravity even further. Bitterness is also kept to a minimum. Fruit-forward flavors and aromas are achieved by late hopping, dry hopping, and the use of neutral ale yeast strains. In short, these beers are highly attenuated, late hopped IPAs inspired by the appearance and mouthfeel of Champagne."
American Imperial IPA,India Pale Ale,7.0,12.0,9.5,65,100,82.5,6,15,10.5,Tulip,"We have west coast American brewers to thank for this somewhat reactionary style. Take an India Pale Ale and feed it steroids, and you'll end up with a Double or Imperial IPA. Although generally recognizable alongside its sister styles in the IPA family, you should expect something more robust, malty, and alcoholic with a characteristically intense hop profile in both taste and aroma. In short, these are boldly flavored, medium-bodied beers that range in color from deep gold to medium amber. The ""imperial"" usage comes from Russian Imperial Stout, a style of strong Stout originally brewed in England during the late 1700s for the Russian imperial court. Today Double IPA is often the preferred name in the United States."
American IPA,India Pale Ale,5.5,7.5,6.5,50,70,60.0,6,15,10.5,Tulip,"Today's American IPA is a different soul from the IPA style first reincarnated in the 1980s. More flavorful and aromatic than the withering English IPA, its color can range from very pale golden to reddish amber. Hops are the star here, and those used in the style tend to be American with an emphasis on herbal, piney, and/or fruity (especially citrusy) varieties. Southern Hemisphere and experimental hops do appear with some frequency though, as brewers seek to distinguish their flagship IPA from a sea of competitors. Bitterness levels vary, but typically run moderate to high. Medium bodied with a clean, bready, and balancing malt backbone, the American IPA has become a dominant force in the marketplace, influencing brewers and beer cultures worldwide."
Belgian IPA,India Pale Ale,6.0,11.0,8.5,50,80,65.0,6,15,10.5,Tulip,"Inspired by American India Pale Ales and Double IPAs, more and more Belgian brewers (like Chouffe & Urthel) are brewing hoppy pale colored ales for the US market. There's been an increase of American brewers making Belgian IPAs, too. Generally, Belgian IPAs are considered too hoppy by Belgian beer drinkers. Various malts are used, but the beers of this style are finished with Belgian yeast strains (bottle-conditioned) while the hops employed tend to be American. You'll generally find a cleaner bitterness versus American IPAs, and a pronounced dry edge, akin to an IPA crossed with a Belgian Tripel. Alcohol by volume is on the high side. Many examples are quite cloudy, and feature tight lacing, excellent head retention, and fantastic billowy heads that mesmerize (thanks, in part, to the hops). Belgian IPA is still very much a developing style."
English India Pale Ale,India Pale Ale,4.5,7.0,5.75,35,60,47.5,5,15,10.0,Pint Glass,"Historically, English breweries exported a variety of beer styles to colonies across the British empire. But shipping ales to troops stationed in India was a particular challenge in an age when the journey took months and every cask contained wild Brettanomyces yeast. To withstand the voyage, Pale Ales were tweaked to be maltier, higher in alcohol content, and hoppier, as hops are a natural preservative. Historians believe that IPA was then watered down for the troops, while officers and the elite would savor the beer at full strength. Over time, taxation has caused the English IPA to assume a lower alcohol. The leaner the brew the less malt is required, and less is the need for a strong hop presence, which would easily put the brew out of balance. Expect earthy, floral English hop character and a malt profile defined by notes of biscuit, toast, and toffee."
New England IPA,India Pale Ale,6.3,7.5,6.9,50,70,60.0,6,15,10.5,Pint Glass,"Emphasizing hop aroma and flavor without bracing bitterness, the New England IPA leans heavily on late and dry hopping techniques to deliver a bursting juicy, tropical hop experience. The skillful balance of technique and ingredient selection, often including the addition of wheat or oats, lends an alluring haze to this popular take on the American IPA."
American Amber / Red Ale,Pale Ale,4.4,6.1,5.25,25,45,35.0,10,18,14.0,Pint Glass,"Like most amber beers, American amber ale is named after the golden to amber color this American version of English pale ale exhibits. The color is derived from the use of caramel and crystal malt additions, which are roasted to provide amber beers with the color, body and flavor many beer fans have come to appreciate. Falling under the ale beer type, amber ales ferment at warmer temperatures for what is typically a much shorter amount of time than lager style beers."
American Blonde Ale,Pale Ale,4.1,5.1,4.6,15,25,20.0,3,7,5.0,Pint Glass,"One of the most approachable styles, a golden or Blonde Ale is an easy-drinking beer that is visually appealing and has no particularly dominating malt or hop characteristics. Rounded and smooth, it is an American classic known for its simplicity. Sometimes referred to as “Golden Ale.” These beers can have honey, spices and fruit added, and may be fermented with lager or ale yeast."
American Pale Ale,Pale Ale,4.5,6.5,5.5,25,50,37.5,5,15,10.0,Pint Glass,"Originally British in origin, this style is now popular worldwide and the use of local or imported ingredients produces variances in character from region to region. American versions tend to be cleaner and hoppier (with the piney, citrusy Cascade variety appearing frequently) than British versions, which are usually more malty, buttery, aromatic, and balanced. Pale Ales range in color from deep gold to medium amber. Fruity esters and diacetyl can vary from none to moderate, and hop aroma can range from lightly floral to bold and pungent. In general, expect a good balance of caramel malt and expressive hops with a medium body and a mildly bitter finish."
Belgian Blonde Ale,Pale Ale,6.3,7.9,7.1,15,30,22.5,3,7,5.0,Tulip,"The Belgian-style blonde ale is typically easy-drinking, with a low but pleasing hop bitterness. This is a light- to medium-bodied ale, with a low malt aroma that has a spiced and sometimes fruity-ester character. Sugar is sometimes added to lighten the perceived body. This style is medium in sweetness and not as bitter as Belgian-style tripels or golden strong ales. It is usually brilliantly clear. The overall impression is balance between light sweetness, spice and low to medium fruity ester flavors."
Belgian Pale Ale,Pale Ale,4.5,7.0,5.75,20,30,25.0,5,15,10.0,Tulip,"The Belgian brewing scene is littered with Belgian Pales, which were initially brewed to compete with Pilseners during the WWII era. Traditionally, they differ from other regional Pale Ales by being less bitter, using aged hops for a delicate hop finish, and having sweet to toasty malt overtones. They should be decanted properly, leaving the yeast in the bottle. This will showcase their brilliant color range from pale straw yellow to various amber hues. Most will be crowned with thick, clinging, rocky white heads. Flavors and aromas will vary. Some have natural spice character contributed by yeast and hops, while others are deliberately spiced. There's also a more recent trend to make hoppier Pale Ales to entice the US market and its hopheads."
Belgian Saison,Pale Ale,4.4,8.4,6.4,20,38,29.0,3,11,7.0,Tulip,"Beers in this category are gold to light amber in color. Often bottle-conditioned, with some yeast character and high carbonation. Belgian-style Saison may have Brettanomyces or lactic character, and fruity, horsey, goaty and/or leather-like aromas and flavors. Specialty ingredients, including spices, may contribute a unique and signature character. Commonly called “farmhouse ales” and originating as summertime beers in Belgium, these are not just warm-weather treats. US craft brewers brew them year-round and have taken to adding a variety of additional ingredients."
English Bitter,Pale Ale,3.0,5.0,4.0,20,35,27.5,3,11,7.0,Pint Glass,"The Bitter style came from brewers who wanted to differentiate these ales from other mild brews—enter pale malts and more hops. Usually gold to copper in color, most examples are light bodied and low in carbonation. Intended to be sessionable, alcohol should be low and not perceived on the palate. The hop bitterness meanwhile, is moderate to assertive. Most English Bitters have a fruitiness in the aroma and flavor; diacetyl can also be present. These beers are traditionally served cask conditioned, but many breweries now have bottled versions, too."
English Extra Special ,Pale Ale,4.0,7.0,5.5,20,40,30.0,3,11,7.0,Pint Glass,"Extra Special Bitters are essentially more aggressive and more balanced Bitters, both in alcohol and hop character. They shouldn't be overpowering, however. The color range will be similar, though ESBs lean toward the darker end of the scale; dark golds to copper. Low in carbonation, this style is commonly served on cask. Malts, often toasty and fruity, tend to be more pronounced, with the possibility of some diacetyl notes. And despite the word ""bitter"" in the name, these beers are not really all that bitter. The key to an ESB is balance and drinkability."
English Pale Ale,Pale Ale,3.8,6.0,4.9,20,40,30.0,5,15,10.0,Pint Glass,"The English Pale Ale can be traced back to the 19th century and the city of Burton-upon-Trent, a place with an abundance of hard water, rich in calcium sulfate. As well as enhancing a beer's hop bitterness, this hard water helps achieve clarity. English Pale Ale can fall anywhere on the color spectrum between golden and reddish amber and should generally have good head retention. A mix of fruity, hoppy, earthy, buttery, and malty aromas and flavors can be found in the sip, not unlike a classic Bitter. Traditionally all ingredients are English in origin."
English Pale Mild Ale,Pale Ale,3.0,5.0,4.0,15,25,20.0,5,15,10.0,Pint Glass,"Similar in many ways to an ordinary Bitter, yet not as hoppy, the English Pale Mild Ale is a delicate, malt-forward brew. Lighter in color than Dark Milds, this style ranges from a pale amber to a deep amber or even an amber brown. Fruitiness, sulfur, and buttery diacetyl may be present in the nose, while hops—traditionally English in origin—are generally subdued yet offer a balancing bitterness. The low alcohol range makes this type of ale a perfect session beer. Not as popular as it has been in the past, Pale Mild is nonetheless an ale for those who appreciate nuance and a bit of history in their pint glass."
French Biere de Garde,Pale Ale,4.4,8.0,6.2,20,30,25.0,3,11,7.0,Tulip,"Biere de Garde translates as “beer for keeping.” This style is popping up more and more from US producers. Blonde, amber and brown versions exist. Biere de Garde examples are light amber to chestnut brown or red in color. This style is characterized by a toasted malt aroma and slight malt sweetness. Flavor of alcohol is evident. Often bottle-conditioned, with some yeast character."
German Kolsch,Pale Ale,4.0,6.0,5.0,18,25,21.5,3,11,7.0,Stange,"First brewed in Köln, Germany, this formerly obscure style is now found at many US brewpubs and a number of breweries have released their own creative takes using American hops and other nontraditional ingredients. Light to medium in body with a soft mouthfeel and a straw yellow or pale gold color, Kölsch has a spicy, herbal Noble hop bitterness that is medium to slightly assertive—less than a Pilsner, but not by much. A somewhat fruity or vinous (grape-y from malts) quality and a crisp, dryish finish make up the rest of the flavor profile."
Irish Red Ale,Pale Ale,4.0,6.0,5.0,20,30,25.0,10,18,14.0,Pint Glass,"Irish red ale is known for its unique malty taste and is on the lower side of the bitterness and alcohol content scales. If you love American craft beer, the Irish red ale beer remains a great style for beer lovers to seek out and appreciate."
American Adjunt Lager,Pilsener & Pale Lager,4.0,6.0,5.0,8,18,13.0,2,7,4.5,Pilsener Glass,"Light bodied, pale, fizzy lagers made popular by the large macro-breweries (large breweries) of America after Prohibition. Low bitterness, thin malts, and moderate alcohol. Focus is less on flavor and more on mass-production and consumption, cutting flavor and sometimes costs with adjunct cereal grains, like rice and corn."
American Imperial Pilsner,Pilsener & Pale Lager,6.5,9.0,7.75,30,65,47.5,2,7,4.5,Pilsener Glass,"Similar to a Pilsner in appearance, but expect a more pronounced malty backbone and an intense bitterness. Malt flavors tend to be quite sweet in many examples. Alcohol can be quite aggressive and lend some spicy notes to the flavor."
American Lager,Pilsener & Pale Lager,4.1,5.1,4.6,30,45,37.5,2,7,4.5,Pilsener Glass,"American lager has little in the way of hop and malt character. A straw to gold, very clean and crisp, highly carbonated lager. Hop aroma and flavor are low to medium-low, deriving from noble-type hops. Hop bitterness is medium. Toasted, biscuit-like, and/or bready malt flavors along with low levels of fermented-malt-derived sulfur compounds may be evident."
American Light Lager,Pilsener & Pale Lager,2.5,5.0,3.75,8,12,10.0,2,7,4.5,Pilsener Glass,"The Light Lager is generally a lighter version of a brewery's premium lager, some are lower in alcohol but all are lower in calories and carbohydrates compared to other beers. Typically a high amount of cereal adjuncts like rice or corn are used to help lighten the beer as much as possible. Very low in malt flavor with a light and dry body. The hop character is low and should only balance with no signs of flavor or aroma. European versions are about half the alcohol (2.5-3.5% ABV) as their regular beer, yet show more flavor (some use 100 percent malt) then the American counterparts. For the most part, this style has the least amount of flavor than any other style of beer."
American Malt Lager ,Pilsener & Pale Lager,6.0,9.0,7.5,10,30,20.0,2,7,4.5,Pint Glass,"Straw to pale amber in color, most Malt Liquors are made with excessive amounts of adjuncts, such as corn, rice, and refined brewing sugar (dextrose). As a result, there are very few ""all malt"" malt liquors. Hops are used sparingly, just enough bitterness to balance off any cloyingness. Higher alcohol versions tend to have loads of fusel alcohol, which gives off solvent or fuel-like aromas and flavors. They are highly attenuated, meaning a higher ratio of fermentable sugars are present compared to some other beers, allowing the brewer to achieve a high alcohol content without using as many ingredients. Some breweries enable the use of special enzymes to further break down the malt and adjuncts so they will yield a higher percentage of alcohol. This makes for quite a dry beer, with only a small amount of unfermented sugars and a strong kick from the higher ABV. For the most part, Malt Liquor beers are sold in 40-ounce bottles."
Bohemian Pilsener,Pilsener & Pale Lager,4.1,5.1,4.6,30,45,37.5,2,7,4.5,Pilsener Glass,"The Bohemian Pilsener has a slightly sweet and evident malt character and a toasted, biscuit-like, bready malt character. Hop bitterness is perceived as medium with a low to medium-low level of noble-type hop aroma and flavor. This style originated in 1842, with “pilsener” originally indicating an appellation in the Czech Republic. Classic examples of this style used to be conditioned in wooden tanks and had a less sharp hop bitterness despite the similar IBU ranges to German-style Pilsener. Low-level diacetyl is acceptable. Bohemian-Style Pilseners are darker in color and higher in final gravity than their German counterparts."
European Export / Dortmunder,Pilsener & Pale Lager,5.1,6.1,5.6,23,29,26.0,2,7,4.5,Pilsener Glass,"Sometimes referred to as a “Dortmunder export,” the European-Style Export has the malt-forward flavor and sweetness of a German-style Helles, but the bitter base of a German-style Pilsener. This lager is all about balance, with medium hop character and firm but low malt sweetness. Look for toasted malt flavors and spicy floral hop aromas."
European Pale Lager,Pilsener & Pale Lager,4.0,6.0,5.0,18,25,21.5,2,7,4.5,Pilsener Glass,"Similar to Munich Helles, many European countries reacted to the popularity of early pale lagers by brewing their own. Hop flavor is significant and of noble varieties, bitterness is moderate, and both are backed by a solid malt body and sweet notes from an all-malt base."
European Strong Lager,Pilsener & Pale Lager,7.0,12.0,9.5,15,40,27.5,2,7,4.5,Goblet,"Many breweries around the world brew a stronger version of their regular lager. In the US, there is Ice Beer and Malt Liquor, both of which rely on a high amount of rice or corn to lighten the flavor. Many European and Asian breweries also have a strong lager similar to Malt Liquor, although these examples are made with more malt or all malt. Many breweries rush the fermentation so the final brew won't be too light, and signs of higher alcohols will be noticed in the aroma and flavor."
