state,abbr,breweries,breweries_per_capita,yearly_barrels
Alabama,AL,41.00,1.10,71894.00
Alaska,AK,42.00,7.80,210063.00
Arizona,AZ,117.00,2.20,173427.00
Arkansas,AR,40.00,1.80,45720.00
California,CA,841.00,2.90,3421295.00
Colorado,CO,396.00,9.20,1522834.00
Connecticut,CT,87.00,3.20,213676.00
Delaware,DE,27.00,3.70,298706.00
District of Columbia,DC,13.00,2.40,33857.00
Florida,FL,285.00,1.70,1373558.00
Georgia,GA,82.00,1.10,449485.00
Hawaii,HI,20.00,1.80,79309.00
Idaho,ID,63.00,5.00,90498.00
Illinois,IL,229.00,2.40,400473.00
Indiana,IN,181.00,3.70,259005.00
Iowa,IA,94.00,4.00,120755.00
Kansas,KS,47.00,2.20,47490.00
Kentucky,KY,61.00,1.80,122415.00
Louisiana,LA,39.00,1.10,227096.00
Maine,ME,119.00,11.30,357438.00
Maryland,MD,94.00,2.10,294801.00
Massachusetts,MA,155.00,2.90,629463.00
Michigan,MI,357.00,4.70,899792.00
Minnesota,MN,178.00,4.30,644077.00
Missouri,MO,112.00,2.40,367871.00
Mississippi,MS,15.00,0.70,31422.00
Montana,MT,92.00,11.40,197167.00
North Carolina,NC,291.00,3.70,1254024.00
North Dakota,ND,16.00,2.90,16378.00
Nebraska,NE,50.00,3.60,54640.00
New Hampshire,NH,81.00,7.60,110509.00
New Jersey,NJ,109.00,1.60,144283.00
New Mexico,NM,85.00,5.50,135557.00
Nevada,NV,43.00,1.90,71869.00
New York,NY,386.00,2.60,1270157.00
Ohio,OH,290.00,3.30,1398358.00
Oklahoma,OK,37.00,1.30,66133.00
Oregon,OR,284.00,8.80,1032369.00
Pennsylvania,PA,354.00,3.60,3719475.00
Rhode Island,RI,26.00,3.20,35398.00
South Carolina,SC,82.00,2.10,100242.00
South Dakota,SD,28.00,4.40,18196.00
Tennessee,TN,99.00,1.90,184203.00
Texas,TX,283.00,1.40,1144563.00
Utah,UT,37.00,1.70,193055.00
Virginia,VA,236.00,3.70,405465.00
Vermont,VT,66.00,13.50,335199.00
Washington,WA,394.00,6.90,566949.00
Wisconsin,WI,190.00,4.30,1007123.00
West Virginia,WV,26.00,1.90,18951.00
Wyoming,WY,29.00,6.80,58966.00